"","lin","CCRT","dia","TR","umi","pop","infection","batch"
"1","NE_I_r1",330,20052025,25.2,39,"NE","I","r1"
"2","NE_I_r1",330,20052025,25.2,39,"NE","I","r1"
"3","NE_I_r1",NA,20052025,25.2,39,"NE","I","r1"
"4","NE_I_r1",NA,20052025,25.2,39,"NE","I","r1"
"5","NE_I_r1",NA,20052025,25.2,39,"NE","I","r1"
"6","NE_N_r1",420,20052025,25.2,39,"NE","N","r1"
"7","NE_N_r1",510,20052025,25.2,39,"NE","N","r1"
"8","NE_N_r1",540,20052025,25.2,39,"NE","N","r1"
"9","NE_N_r1",540,20052025,25.2,39,"NE","N","r1"
"10","NE_N_r1",NA,20052025,25.2,39,"NE","N","r1"
"11","NE_I_r2",360,20052025,25.2,39,"NE","I","r2"
"12","NE_I_r2",390,20052025,25.2,39,"NE","I","r2"
"13","NE_I_r2",420,20052025,25.2,39,"NE","I","r2"
"14","NE_I_r2",510,20052025,25.2,39,"NE","I","r2"
"15","NE_I_r2",600,20052025,25.2,39,"NE","I","r2"
"16","NE_N_r2",NA,20052025,25.2,39,"NE","N","r2"
"17","NE_N_r2",630,20052025,25.2,39,"NE","N","r2"
"18","NE_N_r2",630,20052025,25.2,39,"NE","N","r2"
"19","NE_N_r2",660,20052025,25.2,39,"NE","N","r2"
"20","NE_N_r2",720,20052025,25.2,39,"NE","N","r2"
"21","JP_I_r1",540,20052025,25.2,39,"JP","I","r1"
"22","JP_I_r1",540,20052025,25.2,39,"JP","I","r1"
"23","JP_I_r1",540,20052025,25.2,39,"JP","I","r1"
"24","JP_I_r1",660,20052025,25.2,39,"JP","I","r1"
"25","JP_I_r1",NA,20052025,25.2,39,"JP","I","r1"
"26","JP_N_r1",540,20052025,25.2,39,"JP","N","r1"
"27","JP_N_r1",570,20052025,25.2,39,"JP","N","r1"
"28","JP_N_r1",600,20052025,25.2,39,"JP","N","r1"
"29","JP_N_r1",660,20052025,25.2,39,"JP","N","r1"
"30","JP_N_r1",NA,20052025,25.2,39,"JP","N","r1"
"31","JP_I_r2",600,20052025,25.2,39,"JP","I","r2"
"32","JP_I_r2",600,20052025,25.2,39,"JP","I","r2"
"33","JP_I_r2",630,20052025,25.2,39,"JP","I","r2"
"34","JP_I_r2",NA,20052025,25.2,39,"JP","I","r2"
"35","JP_I_r2",NA,20052025,25.2,39,"JP","I","r2"
"36","JP_N_r2",540,20052025,25.2,39,"JP","N","r2"
"37","JP_N_r2",540,20052025,25.2,39,"JP","N","r2"
"38","JP_N_r2",570,20052025,25.2,39,"JP","N","r2"
"39","JP_N_r2",600,20052025,25.2,39,"JP","N","r2"
"40","JP_N_r2",NA,20052025,25.2,39,"JP","N","r2"
"41","JP_I_r3",540,20052025,25.4,37,"JP","I","r3"
"42","JP_I_r3",570,20052025,25.4,37,"JP","I","r3"
