host_wolb,host,wolbachia,temp,sample,region,CTFC
JP03_wjp03,JP03,wjp03,26,1,whole,343456.214
JP03_wjp03,JP03,wjp03,26,1,posterior,64367.41128
JP03_wjp03,JP03,wjp03,26,1,pole,19544.73596
JP03_wjp03,JP03,wjp03,26,2,whole,162544.6209
JP03_wjp03,JP03,wjp03,26,2,posterior,33048.13261
JP03_wjp03,JP03,wjp03,26,2,pole,9159.253445
JP03_wjp03,JP03,wjp03,26,3,whole,138100.9735
JP03_wjp03,JP03,wjp03,26,3,posterior,16783.5366
JP03_wjp03,JP03,wjp03,26,3,pole,4402.002492
JP03_wjp03,JP03,wjp03,18,1,whole,133286.9326
JP03_wjp03,JP03,wjp03,18,1,posterior,28745.52582
JP03_wjp03,JP03,wjp03,18,1,pole,5928.98034
JP03_wjp03,JP03,wjp03,18,2,whole,77939.61217
JP03_wjp03,JP03,wjp03,18,2,posterior,15665.07193
JP03_wjp03,JP03,wjp03,18,2,pole,2909.059004
JP03_wjp03,JP03,wjp03,18,3,whole,79494.73847
JP03_wjp03,JP03,wjp03,18,3,posterior,16437.44337
JP03_wjp03,JP03,wjp03,18,3,pole,3716.696071
JP03_wjp03,JP03,wjp03,18,4,whole,78804.85336
JP03_wjp03,JP03,wjp03,18,4,posterior,13205.2246
JP03_wjp03,JP03,wjp03,18,4,pole,4082.94102
JP03_wjp03,JP03,wjp03,18,5,whole,29748.7275
JP03_wjp03,JP03,wjp03,18,5,posterior,7374.033029
JP03_wjp03,JP03,wjp03,18,5,pole,1916.312087
JP03_wjp03,JP03,wjp03,18,6,whole,59673.93351
JP03_wjp03,JP03,wjp03,18,6,posterior,17146.42903
JP03_wjp03,JP03,wjp03,18,6,pole,3931.319068
JP03_wjp03,JP03,wjp03,18,7,whole,72319.2701
JP03_wjp03,JP03,wjp03,18,7,posterior,12901.16236
JP03_wjp03,JP03,wjp03,18,7,pole,2627.436026
JP03_wjp03,JP03,wjp03,18,8,whole,123118.5943
JP03_wjp03,JP03,wjp03,18,8,posterior,27356.53594
JP03_wjp03,JP03,wjp03,18,8,pole,4748.280144
NE10_wne10,NE10,wne10,18,1,whole,144384.9837
NE10_wne10,NE10,wne10,18,1,posterior,14010.26275
NE10_wne10,NE10,wne10,18,1,pole,4871.54538
NE10_wne10,NE10,wne10,18,2,whole,169573.9505
NE10_wne10,NE10,wne10,18,2,posterior,27017.51201
NE10_wne10,NE10,wne10,18,2,pole,9650.611421
NE10_wne10,NE10,wne10,18,3,whole,59522.61443
NE10_wne10,NE10,wne10,18,3,posterior,16740.45473
NE10_wne10,NE10,wne10,18,3,pole,7938.450225
NE10_wne10,NE10,wne10,18,4,whole,85337.09224
NE10_wne10,NE10,wne10,18,4,posterior,24179.31212
NE10_wne10,NE10,wne10,18,4,pole,14483.35225
NE10_wne10,NE10,wne10,18,5,whole,81432.06026
NE10_wne10,NE10,wne10,18,5,posterior,24197.11898
NE10_wne10,NE10,wne10,18,5,pole,6790.30559
NE10_wne10,NE10,wne10,18,6,whole,114834.54
NE10_wne10,NE10,wne10,18,6,posterior,20761.40195
NE10_wne10,NE10,wne10,18,6,pole,10468.44396
NE10_wne10,NE10,wne10,26,1,whole,81943.31222
NE10_wne10,NE10,wne10,26,1,posterior,20936.88782
NE10_wne10,NE10,wne10,26,1,pole,9565.580865
NE10_wne10,NE10,wne10,26,2,whole,68756.18153
NE10_wne10,NE10,wne10,26,2,posterior,14230.9892
NE10_wne10,NE10,wne10,26,2,pole,9199.540225
NE10_wne10,NE10,wne10,26,3,whole,128214.9895
NE10_wne10,NE10,wne10,26,3,posterior,22352.24919
NE10_wne10,NE10,wne10,26,3,pole,11073.933
NE10_wne10,NE10,wne10,26,4,whole,33930.75686
NE10_wne10,NE10,wne10,26,4,posterior,5462.970088
NE10_wne10,NE10,wne10,26,4,pole,1992.386096
NE10_wne10,NE10,wne10,26,5,whole,85385.35377
NE10_wne10,NE10,wne10,26,5,posterior,15413.46315
NE10_wne10,NE10,wne10,26,5,pole,9674.35491
JP03_wne10,JP03,wne10,18,1,whole,19256.75244
