flyID,filename,genotype,wbStrain,population,infection,batch,replicate,day_collect,day _experiment,age,run_order,temperature,quadrant
1,NE10W+B1R1_round1,NE10,w10_neuquen,NE,I,1,1,20241007,20241009,3,1,35.0,1
2,NE10W+B1R1_round1,NE10,w10_neuquen,NE,I,1,1,20241007,20241009,3,1,35.0,1
3,NE10W+B1R1_round1,NE10,w10_neuquen,NE,I,1,1,20241007,20241009,3,1,35.0,1
4,NE10W+B1R1_round1,NE10,w10_neuquen,NE,I,1,1,20241007,20241009,3,1,33.4,2
5,NE10W+B1R1_round1,NE10,w10_neuquen,NE,I,1,1,20241007,20241009,3,1,33.4,2
6,NE10W+B1R1_round1,NE10,w10_neuquen,NE,I,1,1,20241007,20241009,3,1,33.4,2
7,NE10W+B1R1_round1,NE10,w10_neuquen,NE,I,1,1,20241007,20241009,3,1,33.4,2
8,NE10W+B1R1_round1,NE10,w10_neuquen,NE,I,1,1,20241007,20241009,3,1,33.4,2
9,NE10W+B1R1_round1,NE10,w10_neuquen,NE,I,1,1,20241007,20241009,3,1,33.4,2
10,NE10W+B1R1_round1,NE10,w10_neuquen,NE,I,1,1,20241007,20241009,3,1,33.4,2
11,NE10W+B1R1_round1,NE10,w10_neuquen,NE,I,1,1,20241007,20241009,3,1,33.4,2
12,NE10W+B1R1_round1,NE10,w10_neuquen,NE,I,1,1,20241007,20241009,3,1,28.5,3
13,NE10W+B1R1_round1,NE10,w10_neuquen,NE,I,1,1,20241007,20241009,3,1,28.5,3
14,NE10W+B1R1_round1,NE10,w10_neuquen,NE,I,1,1,20241007,20241009,3,1,28.5,3
15,NE10W+B1R1_round1,NE10,w10_neuquen,NE,I,1,1,20241007,20241009,3,1,28.5,3
16,NE10W+B1R1_round1,NE10,w10_neuquen,NE,I,1,1,20241007,20241009,3,1,28.5,3
17,NE10W+B1R1_round1,NE10,w10_neuquen,NE,I,1,1,20241007,20241009,3,1,28.5,3
18,NE10W+B1R1_round1,NE10,w10_neuquen,NE,I,1,1,20241007,20241009,3,1,28.5,4
19,NE10W+B1R1_round1,NE10,w10_neuquen,NE,I,1,1,20241007,20241009,3,1,24.6,4
20,NE10W+B1R1_round1,NE10,w10_neuquen,NE,I,1,1,20241007,20241009,3,1,24.6,4
21,NE10W+B1R1_round1,NE10,w10_neuquen,NE,I,1,1,20241007,20241009,3,1,24.6,4
22,NE10W+B1R1_round1,NE10,w10_neuquen,NE,I,1,1,20241007,20241009,3,1,24.6,3
23,NE10W+B1R1_round1,NE10,w10_neuquen,NE,I,1,1,20241007,20241009,3,1,20.8,5
24,NE10W+B1R1_round1,NE10,w10_neuquen,NE,I,1,1,20241007,20241009,3,1,18.4,6
25,NE10W+B1R1_round1,NE10,w10_neuquen,NE,I,1,1,20241007,20241009,3,1,17.8,7
26,JP03W+B1R1_round2,JP03,w03_joaopessoa,JP,I,1,2,20241007,20241009,3,2,34.2,1
27,JP03W+B1R1_round2,JP03,w03_joaopessoa,JP,I,1,2,20241007,20241009,3,2,34.2,1
