"","batch","temp_des","linha","clength","pop"
"1","b1","18","JP 05",0.34,"JP"
"2","b1","18","JP 05",0.34,"JP"
"3","b1","18","JP 05",0.34,"JP"
"4","b1","18","RJ 05",0.37,"RJ"
"5","b1","18","RJ 05",0.35,"RJ"
"6","b1","18","RJ 10",0.33,"RJ"
"7","b1","18","RJ 10",0.38,"RJ"
"8","b1","18","RJ 10",0.4,"RJ"
"9","b1","18","JP 28",0.33,"JP"
"10","b1","18","JP 28",0.37,"JP"
"11","b1","18","JP 28",0.37,"JP"
"12","b1","18","NE 07",0.39,"NE"
"13","b1","18","NE 07",0.38,"NE"
"14","b1","18","NE 07",0.33,"NE"
"15","b1","18","NE 15",0.34,"NE"
"16","b1","18","NE 15",0.34,"NE"
"17","b1","18","NE 15",0.36,"NE"
"18","b1","18","PE 08",0.37,"PE"
"19","b1","18","PE 08",0.37,"PE"
"20","b1","18","PE 08",0.36,"PE"
"21","b1","18","RJ 07",0.37,"RJ"
"22","b1","18","RJ 07",0.38,"RJ"
"23","b1","18","RJ 07",0.38,"RJ"
"24","b1","18","RJ 31",0.36,"RJ"
"25","b1","18","RJ 31",0.38,"RJ"
"26","b1","18","RJ 31",0.38,"RJ"
"27","b1","18","JP 24",0.37,"JP"
"28","b1","18","JP 24",0.34,"JP"
"29","b1","18","JP 24",0.34,"JP"
"30","b1","18","NE 10",0.32,"NE"
"31","b1","18","NE 10",0.31,"NE"
"32","b1","18","PE 04",0.36,"PE"
"33","b1","18","PE 04",0.35,"PE"
"34","b1","18","PE 04",0.35,"PE"
"35","b1","18","RJ 04",0.33,"RJ"
"36","b1","18","RJ 04",0.32,"RJ"
"37","b1","18","RJ 09",0.39,"RJ"
"38","b1","18","RJ 09",0.37,"RJ"
"39","b1","18","RJ 09",0.38,"RJ"
"40","b1","18","JP 10",0.34,"JP"
"41","b1","18","JP 10",0.35,"JP"
"42","b1","18","JP 10",0.32,"JP"
"43","b1","18","JP 16",0.37,"JP"
"44","b1","18","JP 16",0.34,"JP"
"45","b1","18","JP 16",0.38,"JP"
"46","b1","18","JP 22",0.35,"JP"
"47","b1","18","JP 22",0.36,"JP"
"48","b1","18","JP 22",0.38,"JP"
"49","b1","18","JP 30",0.33,"JP"
"50","b1","18","JP 30",0.29,"JP"
"51","b1","18","JP 30",0.37,"JP"
"52","b1","18","RJ 03",0.38,"RJ"
"53","b1","18","RJ 03",0.38,"RJ"
"54","b1","18","RJ 03",0.37,"RJ"
"55","b1","18","RJ 09",0.38,"RJ"
"56","b1","18","RJ 09",0.36,"RJ"
"57","b1","18","RJ 09",0.38,"RJ"
"58","b1","18","NE 08",0.33,"NE"
"59","b1","18","PE 10",0.4,"PE"
"60","b1","18","PE 10",0.4,"PE"
"61","b1","18","PE 10",0.39,"PE"
"62","b1","18","PE 12",0.4,"PE"
"63","b1","18","PE 12",0.41,"PE"
"64","b1","18","RJ 01",0.37,"RJ"
"65","b1","18","RJ 01",0.38,"RJ"
"66","b1","18","RJ 06",0.37,"RJ"
"67","b1","18","RJ 06",0.38,"RJ"
"68","b1","18","RJ 06",0.38,"RJ"
"69","b1","18","RJ 13",0.37,"RJ"
"70","b1","18","RJ 13",0.36,"RJ"
"71","b1","18","JP 14",0.34,"JP"
"72","b1","18","JP 14",0.34,"JP"
"73","b1","18","JP 14",0.32,"JP"
"74","b1","18","JP 26",0.26,"JP"
"75","b1","18","JP 26",0.35,"JP"
"76","b1","18","JP 26",0.34,"JP"
"77","b1","18","NE 03",0.38,"NE"
