lin,CCRT,dia,TR,umi
JP 23_18C-b1,NA,20/09/23,26.6,37
JP 23_18C-b1,360,20/09/23,26.6,37
JP 23_18C-b1,450,20/09/23,26.6,37
JP 23_18C-b1,690,20/09/23,26.6,37
JP 23_18C-b1,690,20/09/23,26.6,37
PE 01_18C-b1,360,20/09/23,26.6,37
PE 01_18C-b1,1110,20/09/23,26.6,37
PE 01_18C-b1,1110,20/09/23,26.6,37
PE 01_18C-b1,1140,20/09/23,26.6,37
PE 01_18C-b1,1140,20/09/23,26.6,37
RJ 10_18C-b1,360,20/09/23,26.6,37
RJ 10_18C-b1,390,20/09/23,26.6,37
RJ 10_18C-b1,420,20/09/23,26.6,37
RJ 10_18C-b1,630,20/09/23,26.6,37
RJ 10_18C-b1,630,20/09/23,26.6,37
RJ 13_18C-b1,690,20/09/23,26.6,37
RJ 13_18C-b1,720,20/09/23,26.6,37
RJ 13_18C-b1,900,20/09/23,26.6,37
RJ 13_18C-b1,1080,20/09/23,26.6,37
RJ 13_18C-b1,1080,20/09/23,26.6,37
RJ 03_18C-b1,360,20/09/23,26.6,37
RJ 03_18C-b1,360,20/09/23,26.6,37
RJ 03_18C-b1,360,20/09/23,26.6,37
RJ 03_18C-b1,480,20/09/23,26.6,37
RJ 03_18C-b1,690,20/09/23,26.6,37
RJ 05_18C-b1,480,20/09/23,26.6,37
RJ 05_18C-b1,570,20/09/23,26.6,37
RJ 05_18C-b1,720,20/09/23,26.6,37
RJ 05_18C-b1,1650,20/09/23,26.6,37
RJ 05_18C-b1,NA,20/09/23,26.6,37
RJ 07_18C-b1,720,20/09/23,26.6,37
RJ 07_18C-b1,720,20/09/23,26.6,37
RJ 07_18C-b1,780,20/09/23,26.6,37
RJ 07_18C-b1,780,20/09/23,26.6,37
RJ 07_18C-b1,1020,20/09/23,26.6,37
JP 16_18C-b1,NA,22/09/23,26.0,44
JP 16_18C-b1,NA,22/09/23,26.0,44
JP 16_18C-b1,630,22/09/23,26.0,44
JP 16_18C-b1,1200,22/09/23,26.0,44
JP 16_18C-b1,1200,22/09/23,26.0,44
JP 24_18C-b1,NA,22/09/23,26.0,44
JP 24_18C-b1,660,22/09/23,26.0,44
JP 24_18C-b1,750,22/09/23,26.0,44
JP 24_18C-b1,810,22/09/23,26.0,44
JP 24_18C-b1,1170,22/09/23,26.0,44
NE 12_18C-b1,540,22/09/23,26.0,44
NE 12_18C-b1,600,22/09/23,26.0,44
NE 12_18C-b1,600,22/09/23,26.0,44
NE 12_18C-b1,660,22/09/23,26.0,44
NE 12_18C-b1,750,22/09/23,26.0,44
PE 06_18C-b1,450,22/09/23,26.0,44
PE 06_18C-b1,450,22/09/23,26.0,44
PE 06_18C-b1,450,22/09/23,26.0,44
PE 06_18C-b1,600,22/09/23,26.0,44
PE 06_18C-b1,780,22/09/23,26.0,44
RJ 01_18C-b1,NA,22/09/23,26.0,44
RJ 01_18C-b1,NA,22/09/23,26.0,44
RJ 01_18C-b1,750,22/09/23,26.0,44
RJ 01_18C-b1,840,22/09/23,26.0,44
RJ 01_18C-b1,840,22/09/23,26.0,44
RJ 09_18C-b3,NA,06/12/23,24.4,42
RJ 09_18C-b3,NA,06/12/23,24.4,42
RJ 09_18C-b3,420,06/12/23,24.4,42
RJ 09_18C-b3,420,06/12/23,24.4,42
RJ 09_18C-b3,630,06/12/23,24.4,42
JP 22_18C-b1,540,27/09/23,25.5,51
JP 22_18C-b1,540,27/09/23,25.5,51
JP 22_18C-b1,630,27/09/23,25.5,51
JP 22_18C-b1,630,27/09/23,25.5,51
JP 22_18C-b1,660,27/09/23,25.5,51
NE 13_18C-b1,390,27/09/23,25.5,51
NE 13_18C-b1,390,27/09/23,25.5,51
NE 13_18C-b1,420,27/09/23,25.5,51
NE 13_18C-b1,450,27/09/23,25.5,51
NE 13_18C-b1,NA,27/09/23,25.5,51
PE 08_18C-b1,300,27/09/23,25.5,51
PE 08_18C-b1,300,27/09/23,25.5,51
PE 08_18C-b1,360,27/09/23,25.5,51
PE 08_18C-b1,360,27/09/23,25.5,51
PE 08_18C-b1,420,27/09/23,25.5,51
RJ 11_18C-b1,540,27/09/23,25.5,51
RJ 11_18C-b1,540,27/09/23,25.5,51
RJ 11_18C-b1,570,27/09/23,25.5,51
RJ 11_18C-b1,630,27/09/23,25.5,51
RJ 11_18C-b1,NA,27/09/23,25.5,51
RJ 15_18C-b1,510,28/09/23,24.5,51
RJ 15_18C-b1,510,28/09/23,24.5,51
RJ 15_18C-b1,750,28/09/23,24.5,51
RJ 15_18C-b1,750,28/09/23,24.5,51
RJ 15_18C-b1,960,28/09/23,24.5,51
PE 12_18C-b1,690,28/09/23,24.5,51
PE 12_18C-b1,690,28/09/23,24.5,51
PE 12_18C-b1,990,28/09/23,24.5,51
PE 12_18C-b1,1020,28/09/23,24.5,51
PE 12_18C-b1,1020,28/09/23,24.5,51
RJ 09_18C-b1,390,28/09/23,24.5,51
RJ 09_18C-b1,480,28/09/23,24.5,51
RJ 09_18C-b1,480,28/09/23,24.5,51
RJ 09_18C-b1,480,28/09/23,24.5,51
RJ 09_18C-b1,510,28/09/23,24.5,51
JP 28_18C-b1,720,28/09/23,24.5,51
JP 28_18C-b1,780,28/09/23,24.5,51
JP 28_18C-b1,780,28/09/23,24.5,51
JP 28_18C-b1,780,28/09/23,24.5,51
JP 28_18C-b1,840,28/09/23,24.5,51
NE 06_18C-b1,450,28/09/23,24.5,51
NE 06_18C-b1,450,28/09/23,24.5,51
NE 06_18C-b1,450,28/09/23,24.5,51
NE 06_18C-b1,480,28/09/23,24.5,51
NE 06_18C-b1,480,28/09/23,24.5,51
PE 10_18C-b1,300,28/09/23,24.5,51
PE 10_18C-b1,510,28/09/23,24.5,51
PE 10_18C-b1,540,28/09/23,24.5,51
PE 10_18C-b1,570,28/09/23,24.5,51
PE 10_18C-b1,630,28/09/23,24.5,51
NE 07_18C-b1,360,28/09/23,24.5,51
NE 07_18C-b1,510,28/09/23,24.5,51
NE 07_18C-b1,600,28/09/23,24.5,51
NE 07_18C-b1,600,28/09/23,24.5,51
NE 07_18C-b1,660,28/09/23,24.5,51
JP 05_18C-b1,630,28/09/23,24.5,51
JP 05_18C-b1,690,28/09/23,24.5,51
JP 05_18C-b1,690,28/09/23,24.5,51
