;flask;CCRT;temp_des;batch;pop;lin_temp;lat;line
1;JP 03_18C-b1;690;18;b1;JP;JP 03_18C;-7;JP 03
2;JP 03_18C-b1;810;18;b1;JP;JP 03_18C;-7;JP 03
3;JP 03_18C-b1;810;18;b1;JP;JP 03_18C;-7;JP 03
4;JP 03_18C-b1;930;18;b1;JP;JP 03_18C;-7;JP 03
5;JP 03_18C-b1;1020;18;b1;JP;JP 03_18C;-7;JP 03
6;JP 03_25C-b1;660;25;b1;JP;JP 03_25C;-7;JP 03
7;JP 03_25C-b1;750;25;b1;JP;JP 03_25C;-7;JP 03
8;JP 03_25C-b1;990;25;b1;JP;JP 03_25C;-7;JP 03
9;JP 03_25C-b1;1380;25;b1;JP;JP 03_25C;-7;JP 03
10;JP 03_25C-b1;NA;25;b1;JP;JP 03_25C;-7;JP 03
11;JP 03_25C-b3;450;25;b3;JP;JP 03_25C;-7;JP 03
12;JP 03_25C-b3;480;25;b3;JP;JP 03_25C;-7;JP 03
13;JP 03_25C-b3;480;25;b3;JP;JP 03_25C;-7;JP 03
14;JP 03_25C-b3;570;25;b3;JP;JP 03_25C;-7;JP 03
15;JP 03_25C-b3;630;25;b3;JP;JP 03_25C;-7;JP 03
16;JP 03_18C-b4;270;18;b4;JP;JP 03_18C;-7;JP 03
17;JP 03_18C-b4;540;18;b4;JP;JP 03_18C;-7;JP 03
18;JP 03_18C-b4;630;18;b4;JP;JP 03_18C;-7;JP 03
19;JP 03_18C-b4;630;18;b4;JP;JP 03_18C;-7;JP 03
20;JP 03_18C-b4;NA;18;b4;JP;JP 03_18C;-7;JP 03
21;JP 03_25C-b4;300;25;b4;JP;JP 03_25C;-7;JP 03
22;JP 03_25C-b4;360;25;b4;JP;JP 03_25C;-7;JP 03
23;JP 03_25C-b4;420;25;b4;JP;JP 03_25C;-7;JP 03
24;JP 03_25C-b4;450;25;b4;JP;JP 03_25C;-7;JP 03
25;JP 03_25C-b4;450;25;b4;JP;JP 03_25C;-7;JP 03
26;JP 05_18C-b1;630;18;b1;JP;JP 05_18C;-7;JP 05
27;JP 05_18C-b1;690;18;b1;JP;JP 05_18C;-7;JP 05
28;JP 05_18C-b1;690;18;b1;JP;JP 05_18C;-7;JP 05
29;JP 05_18C-b1;720;18;b1;JP;JP 05_18C;-7;JP 05
30;JP 05_18C-b1;750;18;b1;JP;JP 05_18C;-7;JP 05
31;JP 05_18C-b2;660;18;b2;JP;JP 05_18C;-7;JP 05
32;JP 05_18C-b2;720;18;b2;JP;JP 05_18C;-7;JP 05
33;JP 05_18C-b2;750;18;b2;JP;JP 05_18C;-7;JP 05
34;JP 05_18C-b2;750;18;b2;JP;JP 05_18C;-7;JP 05
35;JP 05_18C-b2;750;18;b2;JP;JP 05_18C;-7;JP 05
36;JP 05_25C-b2;420;25;b2;JP;JP 05_25C;-7;JP 05
37;JP 05_25C-b2;450;25;b2;JP;JP 05_25C;-7;JP 05
38;JP 05_25C-b2;450;25;b2;JP;JP 05_25C;-7;JP 05
39;JP 05_25C-b2;570;25;b2;JP;JP 05_25C;-7;JP 05
40;JP 05_25C-b2;NA;25;b2;JP;JP 05_25C;-7;JP 05
41;JP 05_18C-b3;450;18;b3;JP;JP 05_18C;-7;JP 05
42;JP 05_18C-b3;450;18;b3;JP;JP 05_18C;-7;JP 05
43;JP 05_18C-b3;450;18;b3;JP;JP 05_18C;-7;JP 05
44;JP 05_18C-b3;510;18;b3;JP;JP 05_18C;-7;JP 05
45;JP 05_18C-b3;NA;18;b3;JP;JP 05_18C;-7;JP 05
46;JP 05_25C-b3;420;25;b3;JP;JP 05_25C;-7;JP 05
47;JP 05_25C-b3;510;25;b3;JP;JP 05_25C;-7;JP 05
48;JP 05_25C-b3;510;25;b3;JP;JP 05_25C;-7;JP 05
49;JP 05_25C-b3;510;25;b3;JP;JP 05_25C;-7;JP 05
50;JP 05_25C-b3;510;25;b3;JP;JP 05_25C;-7;JP 05
51;JP 10_18C-b1;510;18;b1;JP;JP 10_18C;-7;JP 10
52;JP 10_18C-b1;690;18;b1;JP;JP 10_18C;-7;JP 10
53;JP 10_18C-b1;930;18;b1;JP;JP 10_18C;-7;JP 10
54;JP 10_18C-b1;1170;18;b1;JP;JP 10_18C;-7;JP 10
55;JP 10_18C-b1;1170;18;b1;JP;JP 10_18C;-7;JP 10
56;JP 10_18C-b2;600;18;b2;JP;JP 10_18C;-7;JP 10
57;JP 10_18C-b2;600;18;b2;JP;JP 10_18C;-7;JP 10
58;JP 10_18C-b2;840;18;b2;JP;JP 10_18C;-7;JP 10
59;JP 10_18C-b2;1050;18;b2;JP;JP 10_18C;-7;JP 10
60;JP 10_18C-b2;1050;18;b2;JP;JP 10_18C;-7;JP 10
61;JP 10_25C-b2;510;25;b2;JP;JP 10_25C;-7;JP 10
62;JP 10_25C-b2;720;25;b2;JP;JP 10_25C;-7;JP 10
63;JP 10_25C-b2;720;25;b2;JP;JP 10_25C;-7;JP 10
64;JP 10_25C-b2;720;25;b2;JP;JP 10_25C;-7;JP 10
65;JP 10_25C-b2;840;25;b2;JP;JP 10_25C;-7;JP 10
66;JP 10_18C-b3;750;18;b3;JP;JP 10_18C;-7;JP 10
67;JP 10_18C-b3;750;18;b3;JP;JP 10_18C;-7;JP 10
68;JP 10_18C-b3;750;18;b3;JP;JP 10_18C;-7;JP 10
69;JP 10_18C-b3;780;18;b3;JP;JP 10_18C;-7;JP 10
