linha;batch;pop;temp_des;asa_length;asa_width;tibia_length;cabeca_width
JP 03;b3;JP;25;1.36;0.945;0.638;NA
JP 05;b1;JP;18;1.545;1.06;0.662333333;0.34
JP 05;b2;JP;18;1.595;1.1;0.682333333;0.356666667
JP 05;b2;JP;25;1.405;0.965;0.624;0.313333333
JP 05;b3;JP;18;1.605;1.105;0.670666667;0.35
JP 05;b3;JP;25;1.42;1;0.6495;0.346666667
JP 10;b1;JP;18;1.5;0.995;0.629;0.336666667
JP 10;b2;JP;18;1.545;1.055;0.6655;0.345
JP 10;b2;JP;25;1.275;0.865;0.6375;0.343333333
JP 10;b3;JP;18;1.5525;1.0375;0.671333333;0.346666667
JP 10;b3;JP;25;1.325;0.895;0.624333333;0.315
JP 12;b3;JP;18;1.42;0.95;0.630333333;0.315
JP 12;b3;JP;25;1.31;0.91;0.633;0.333333333
JP 13;b1;JP;25;1.49;1.025;NA;NA
JP 13;b2;JP;18;1.565;1.055;0.702666667;0.363333333
JP 13;b2;JP;25;1.38;0.965;0.6625;0.35
JP 13;b3;JP;18;1.435;0.99;0.636666667;0.326666667
JP 13;b3;JP;25;1.295;0.89;0.6105;0.39
JP 14;b1;JP;18;1.525;0.995;0.676333333;0.333333333
JP 14;b3;JP;18;1.56;1.025;0.655333333;0.346666667
JP 14;b3;JP;25;1.385;0.935;0.613;0.34
JP 16 ;b1;JP;18;1.625;1.08;NA;NA
JP 16 ;b1;JP;25;1.37;0.91;NA;NA
JP 16 ;b2;JP;18;1.58;1.035;NA;NA
JP 16 ;b2;JP;25;1.42;0.94;NA;NA
JP 17;b1;JP;25;1.405;0.975;0.6755;NA
JP 17;b3;JP;25;1.18;0.82;0.546666667;NA
JP 22;b1;JP;18;1.6;1.07;0.685333333;0.363333333
JP 22;b2;JP;18;1.545;1.035;0.6825;0.353333333
JP 22;b2;JP;25;1.385;0.975;0.6205;0.333333333
JP 23;b1;JP;18;1.52;1.055;NA;NA
JP 23;b2;JP;18;1.515;1.015;0.650666667;0.35
JP 23;b2;JP;25;1.39;0.98;0.639;0.333333333
JP 24;b1;JP;18;1.53;1.04;0.646;0.35
JP 24;b2;JP;18;1.575;1.075;0.672;0.363333333
JP 24;b2;JP;25;1.285;0.905;0.6145;0.3
JP 26;b1;JP;18;1.62;1.045;0.653666667;0.316666667
JP 26;b1;JP;25;1.335;0.89;0.6045;0.31
JP 26;b2;JP;18;1.615;1.07;0.689666667;0.37
JP 26;b2;JP;25;1.355;0.895;0.601;0.323333333
JP 28 ;b1;JP;18;1.555;1.055;NA;NA
JP 28 ;b2;JP;18;1.6;1.04;NA;NA
JP 28 ;b2;JP;25;1.45;0.97;NA;NA
JP 30;b1;JP;18;1.485;0.99;0.699;0.33
JP 30;b2;JP;18;1.64;1.075;0.6808;0.365
JP 30;b2;JP;25;1.405;0.955;0.641;0.315
JP 32;b1;JP;18;1.48;1.005;NA;0.34
JP 32;b1;JP;25;1.3;0.94;0.639;0.343333333
JP 32;b2;JP;18;1.57;1.035;0.711666667;0.376666667
JP 32;b2;JP;25;1.375;0.99;0.689333333;0.386666667
JP 33;b2;JP;18;1.435;0.95;0.6345;0.365
JP 33;b2;JP;25;1.31;0.88;0.5915;0.316666667
JP 35;b2;JP;18;1.555;1.075;0.636333333;0.34
JP 35;b2;JP;25;1.35;0.94;0.6745;0.336666667
JP 36;b2;JP;25;1.365;0.945;0.655;NA
JP 37;b1;JP;18;1.53;1.02;0.678333333;NA
JP 37;b2;JP;18;1.58;1.105;0.693;NA
JP 37;b2;JP;25;1.43;0.99;0.694;NA
JP 38;b2;JP;18;1.495;1.015;0.651333333;0.353333333
JP 38;b2;JP;25;1.455;0.98;0.686333333;0.34
JP 39;b2;JP;18;1.51;1.025;0.6595;0.366666667
JP 39;b2;JP;25;1.27;0.88;0.612333333;0.313333333
JP 40;b1;JP;18;1.47;1;NA;0.343333333
JP 40;b1;JP;25;1.49;1.02;0.6925;0.36
JP 40;b2;JP;18;1.635;1.095;0.686333333;0.355
JP 40;b2;JP;25;1.365;0.93;0.644333333;0.336666667
JP 42;b2;JP;18;1.515;1.005;0.656666667;0.363333333
JP 42;b2;JP;25;1.35;0.935;NA;NA
JP 42;b3;JP;18;1.475;0.995;0.6215;0.335
JP 42;b3;JP;25;1.26;0.85;0.601333333;0.316666667
JP 46;b2;JP;18;1.485;1.01;0.645333333;0.363333333
JP 46;b2;JP;25;1.29;0.905;0.645;0.34
JP 46;b3;JP;18;1.47;0.98;0.625333333;0.31
JP 47;b1;JP;18;1.515;0.995;0.662333333;0.36
JP 47;b1;JP;25;1.36;0.95;0.6695;0.34
JP 47;b3;JP;25;1.255;0.885;0.57;0.3
JP 49;b3;JP;18;1.64;1.12;0.673;0.356666667
JP 49;b3;JP;25;1.46;0.985;0.693;0.356666667
JP 50;b2;JP;18;1.59;1.07;0.694;0.37
JP 50;b2;JP;25;1.355;0.91;0.63;0.326666667
JP 50;b3;JP;25;1.32;0.905;0.663;0.323333333
JP 52;b2;JP;18;1.545;1.07;0.666;0.375
JP 52;b2;JP;25;1.32;0.935;0.639333333;0.33
JP 52;b3;JP;25;1.34;0.925;0.644;0.34
NE 01;b2;NE;18;1.67;1.135;0.666;0.38
NE 01;b2;NE;25;1.495;1.035;NA;0.363333333
NE 01;b3;NE;18;1.445;0.985;0.627;0.35
NE 01;b3;NE;25;1.405;0.965;0.572;0.31
NE 02;b3;NE;18;1.535;1.11;0.657666667;0.373333333
NE 02;b3;NE;25;1.415;0.975;0.628;0.335
NE 03;b1;NE;18;1.63;1.14;0.664666667;0.336666667
NE 03;b1;NE;25;1.485;1.05;0.689333333;0.355
NE 03;b3;NE;18;1.67;1.155;0.620666667;0.326666667
NE 04;b2;NE;18;1.78;1.17;0.7035;0.38
NE 04;b2;NE;25;1.555;1.075;0.6395;0.41
NE 04;b3;NE;25;1.31;0.885;0.598333333;0.353333333
NE 05;b1;NE;18;1.705;1.14;0.673;0.37
NE 05;b2;NE;18;1.685;1.165;0.695666667;0.363333333
NE 05;b2;NE;25;1.525;1.075;0.688;0.37
NE 05;b3;NE;18;1.655;1.115;0.666666667;0.35
NE 06;b1;NE;25;1.455;1.05;0.676;0.36
NE 06;b2;NE;18;1.7;1.18;0.720333333;0.393333333
NE 06;b2;NE;25;1.45;1.05;0.648666667;0.346666667
NE 06;b3;NE;18;1.64;1.155;0.697;0.36
NE 06;b3;NE;25;1.395;1.035;0.685;0.366666667
NE 07;b1;NE;18;1.59;1.065;0.637;0.366666667
NE 07;b2;NE;18;1.785;1.15;0.729666667;0.405
NE 07;b2;NE;25;1.53;1.045;0.672;NA
NE 07;b3;NE;25;1.475;1.02;0.642;0.35
NE 08;b1;NE;18;1.765;1.175;0.714666667;0.33
NE 08;b1;NE;25;1.61;1.13;0.733666667;0.35
NE 08;b3;NE;25;1.365;0.995;0.63;0.336666667
NE 09;b1;NE;25;1.58;1.08;0.694666667;0.36
NE 09;b2;NE;18;1.64;1.105;0.691;0.38
NE 09;b2;NE;25;1.57;1.09;0.6945;0.383333333
NE 10;b1;NE;18;1.605;1.13;0.666333333;0.315
NE 10;b2;NE;18;1.745;1.185;0.7145;0.38
NE 10;b2;NE;25;1.59;1.075;NA;0.366666667
NE 11;b2;NE;18;1.725;1.13;NA;NA
NE 12;b1;NE;18;1.75;1.19;0.7475;NA
NE 13 ;b1;NE;18;1.675;1.13;NA;NA
NE 14;b2;NE;25;1.48;1.015;0.614666667;0.34
NE 15;b1;NE;18;1.67;1.12;0.645;0.346666667
NE 15;b2;NE;18;1.665;1.15;0.666;0.363333333
