Genotype,Temperature,Family_ID,Sex,Infected,Fly_Id
JP03,26,1,F,I,1
JP03,26,1,F,I,2
JP03,26,1,F,NA,3
JP03,26,1,F,I,4
JP03,26,1,F,I,5
JP03,26,1,M,I,6
JP03,26,1,M,I,7
JP03,26,1,M,I,8
JP03,26,1,M,I,9
JP03,26,1,M,I,10
JP03,26,2,F,I,11
JP03,26,2,F,I,12
JP03,26,2,F,I,13
JP03,26,2,F,I,14
JP03,26,2,F,N,15
JP03,26,2,M,I,16
JP03,26,2,M,NA,17
JP03,26,2,M,I,18
JP03,26,2,M,I,19
JP03,26,2,M,I,20
JP03,26,3,F,I,21
JP03,26,3,F,I,22
JP03,26,3,F,I,23
JP03,26,3,F,I,24
JP03,26,3,F,I,25
JP03,26,3,M,NA,26
JP03,26,3,M,NA,27
JP03,26,3,M,I,28
JP03,26,3,M,I,29
JP03,26,3,M,I,30
JP03,26,4,F,I,31
JP03,26,4,F,I,32
JP03,26,4,F,NA,33
JP03,26,4,F,I,34
JP03,26,4,F,I,35
JP03,26,4,M,I,36
JP03,26,4,M,I,37
JP03,26,4,M,I,38
JP03,26,4,M,I,39
JP03,26,4,M,I,40
JP03,26,5,F,I,41
JP03,26,5,F,I,42
JP03,26,5,F,I,43
JP03,26,5,F,I,44
JP03,26,5,F,NA,45
JP03,26,5,M,I,46
JP03,26,5,M,I,47
JP03,26,5,M,I,48
JP03,26,5,M,I,49
JP03,26,5,M,I,50
JP03,26,6,F,I,51
JP03,26,6,F,NA,52
JP03,26,6,F,I,53
JP03,26,6,F,I,54
JP03,26,6,F,I,55
JP03,26,6,M,I,56
JP03,26,6,M,I,57
JP03,26,6,M,I,58
JP03,26,6,M,I,59
JP03,26,6,M,I,60
JP03,26,7,F,I,61
JP03,26,7,F,I,62
JP03,26,7,F,I,63
JP03,26,7,F,I,64
JP03,26,7,F,I,65
JP03,26,7,M,I,66
JP03,26,7,M,I,67
JP03,26,7,M,I,68
JP03,26,7,M,I,69
JP03,26,7,M,N,70
JP03,26,8,F,NA,71
JP03,26,8,F,I,72
JP03,26,8,F,I,73
JP03,26,8,F,I,74
JP03,26,8,F,N,75
JP03,26,8,M,I,76
JP03,26,8,M,I,77
JP03,26,8,M,N,78
JP03,26,8,M,I,79
JP03,26,8,M,NA,80
JP03,26,9,F,N,81
JP03,26,9,F,I,82
JP03,26,9,F,I,83
JP03,26,9,F,N,84
JP03,26,9,F,I,85
JP03,26,9,M,I,86
JP03,26,9,M,I,87
JP03,26,9,M,I,88
JP03,26,9,M,I,89
JP03,26,9,M,I,90
JP03,18,1,F,N,91
JP03,18,1,F,I,92
JP03,18,1,F,I,93
JP03,18,1,F,I,94
JP03,18,1,F,I,95
JP03,18,1,M,I,96
JP03,18,1,M,I,97
JP03,18,1,M,I,98
JP03,18,1,M,I,99
JP03,18,1,M,I,100
JP03,18,2,F,I,101
JP03,18,2,F,I,102
JP03,18,2,F,I,103
JP03,18,2,F,I,104
JP03,18,2,F,I,105
JP03,18,2,M,I,106
JP03,18,2,M,I,107
JP03,18,2,M,I,108
JP03,18,2,M,I,109
JP03,18,2,M,N,110
JP03,18,3,F,I,111
JP03,18,3,F,I,112
JP03,18,3,F,N,113
JP03,18,3,F,I,114
JP03,18,3,F,I,115
JP03,18,3,M,I,116
JP03,18,3,M,N,117
JP03,18,3,M,I,118
JP03,18,3,M,I,119
JP03,18,3,M,I,120
JP03,18,4,F,I,121
JP03,18,4,F,I,122
JP03,18,4,F,N,123
JP03,18,4,F,N,124
JP03,18,4,F,I,125
JP03,18,4,M,I,126
JP03,18,4,M,I,127
JP03,18,4,M,I,128
JP03,18,4,M,I,129
JP03,18,4,M,I,130
JP03,18,5,F,I,131
JP03,18,5,F,I,132
JP03,18,5,F,N,133
JP03,18,5,F,N,134
JP03,18,5,F,I,135
JP03,18,5,M,I,136
JP03,18,5,M,I,137
JP03,18,5,M,I,138
JP03,18,5,M,I,139
JP03,18,5,M,I,140
JP03,18,6,F,I,141
JP03,18,6,F,I,142
JP03,18,6,F,I,143
JP03,18,6,F,I,144
JP03,18,6,F,I,145
JP03,18,6,M,N,146
JP03,18,6,M,I,147
JP03,18,6,M,N,148
JP03,18,6,M,I,149
JP03,18,6,M,I,150
JP03,18,7,F,I,151
JP03,18,7,F,I,152
JP03,18,7,F,I,153
JP03,18,7,F,I,154
JP03,18,7,F,I,155
JP03,18,7,M,I,156
JP03,18,7,M,I,157
JP03,18,7,M,I,158
JP03,18,7,M,I,159
JP03,18,7,M,I,160
JP03,18,8,F,I,161
JP03,18,8,F,I,162
JP03,18,8,F,I,163
JP03,18,8,F,I,164
JP03,18,8,F,I,165
JP03,18,8,M,I,166
JP03,18,8,M,I,167
JP03,18,8,M,I,168
JP03,18,8,M,I,169
JP03,18,8,M,I,170
JP03,18,9,F,I,171
JP03,18,9,F,I,172
JP03,18,9,F,I,173
JP03,18,9,F,I,174
JP03,18,9,F,I,175
JP03,18,9,M,I,176
JP03,18,9,M,I,177
JP03,18,9,M,I,178
JP03,18,9,M,I,179
JP03,18,9,M,N,180
NE10,26,1,F,I,181
NE10,26,1,F,I,182
NE10,26,1,F,NA,183
NE10,26,1,F,I,184
NE10,26,1,F,I,185
NE10,26,1,M,I,186
NE10,26,1,M,I,187
NE10,26,1,M,I,188
NE10,26,1,M,I,189
NE10,26,1,M,NA,190
NE10,26,2,F,I,191
NE10,26,2,F,I,192
NE10,26,2,F,NA,193
NE10,26,2,F,I,194
NE10,26,2,F,I,195
NE10,26,2,M,NA,196
NE10,26,2,M,I,197
NE10,26,2,M,I,198
NE10,26,2,M,I,199
NE10,26,2,M,I,200
NE10,26,3,F,NA,201
NE10,26,3,F,I,202
NE10,26,3,F,I,203
NE10,26,3,F,I,204
NE10,26,3,F,N,205
NE10,26,3,M,N,206
NE10,26,3,M,NA,207
NE10,26,3,M,NA,208
NE10,26,3,M,I,209
NE10,26,3,M,I,210
NE10,26,4,F,I,211
NE10,26,4,F,N,212
NE10,26,4,F,N,213
NE10,26,4,F,I,214
NE10,26,4,F,I,215
NE10,26,4,M,I,216
NE10,26,4,M,I,217
NE10,26,4,M,N,218
NE10,26,4,M,I,219
NE10,26,4,M,NA,220
NE10,26,5,F,N,221
NE10,26,5,F,I,222
NE10,26,5,F,NA,223
NE10,26,5,F,NA,224
NE10,26,5,F,N,225
NE10,26,5,M,I,226
NE10,26,5,M,I,227
NE10,26,5,M,NA,228
NE10,26,5,M,I,229
NE10,26,5,M,I,230
NE10,26,6,F,I,231
NE10,26,6,F,I,232
NE10,26,6,F,I,233
NE10,26,6,F,I,234
NE10,26,6,F,NA,235
NE10,26,6,M,I,236
NE10,26,6,M,N,237
NE10,26,6,M,I,238
NE10,26,6,M,I,239
NE10,26,6,M,I,240
NE10,26,7,F,I,241
NE10,26,7,F,I,242
NE10,26,7,F,I,243
NE10,26,7,F,I,244
NE10,26,7,F,NA,245
NE10,26,7,M,I,246
NE10,26,7,M,I,247
NE10,26,7,M,N,248
NE10,26,7,M,I,249
NE10,26,7,M,NA,250
NE10,26,8,F,I,251
NE10,26,8,F,N,252
NE10,26,8,F,I,253
NE10,26,8,F,I,254
NE10,26,8,F,I,255
NE10,26,8,M,I,256
NE10,26,8,M,NA,257
NE10,26,8,M,NA,258
NE10,26,8,M,I,259
NE10,26,8,M,I,260
NE10,26,9,F,I,261
NE10,26,9,F,NA,262
NE10,26,9,F,I,263
NE10,26,9,F,I,264
NE10,26,9,F,I,265
NE10,26,9,M,I,266
NE10,26,9,M,I,267
NE10,26,9,M,N,268
NE10,26,9,M,I,269
NE10,26,9,M,I,270
NE10,18,1,F,N,271
NE10,18,1,F,NA,272
NE10,18,1,F,I,273
NE10,18,1,F,I,274
NE10,18,1,F,I,275
NE10,18,1,M,I,276
NE10,18,1,M,NA,277
NE10,18,1,M,NA,278
NE10,18,1,M,NA,279
NE10,18,1,M,NA,280
NE10,18,2,F,I,281
NE10,18,2,F,I,282
NE10,18,2,F,NA,283
NE10,18,2,F,N,284
NE10,18,2,F,N,285
NE10,18,2,M,I,286
NE10,18,2,M,I,287
NE10,18,2,M,I,288
NE10,18,2,M,I,289
NE10,18,2,M,I,290
NE10,18,3,F,I,291
NE10,18,3,F,I,292
NE10,18,3,F,I,293
NE10,18,3,F,NA,294
NE10,18,3,F,N,295
NE10,18,3,M,I,296
NE10,18,3,M,N,297
NE10,18,3,M,I,298
NE10,18,3,M,I,299
NE10,18,3,M,I,300
NE10,18,4,F,N,301
NE10,18,4,F,NA,302
NE10,18,4,F,I,303
NE10,18,4,F,I,304
NE10,18,4,F,I,305
NE10,18,4,M,NA,306
NE10,18,4,M,I,307
NE10,18,4,M,NA,308
NE10,18,4,M,I,309
NE10,18,4,M,I,310
NE10,18,5,F,N,311
NE10,18,5,F,I,312
NE10,18,5,F,I,313
NE10,18,5,F,NA,314
NE10,18,5,F,N,315
NE10,18,5,M,NA,316
NE10,18,5,M,N,317
NE10,18,5,M,I,318
NE10,18,5,M,I,319
NE10,18,5,M,NA,320
NE10,18,6,F,NA,321
NE10,18,6,F,I,322
NE10,18,6,F,N,323
NE10,18,6,F,N,324
NE10,18,6,F,I,325
NE10,18,6,M,I,326
NE10,18,6,M,I,327
NE10,18,6,M,I,328
NE10,18,6,M,NA,329
NE10,18,6,M,NA,330
NE10,18,7,F,NA,331
NE10,18,7,F,NA,332
NE10,18,7,F,I,333
NE10,18,7,F,I,334
NE10,18,7,F,N,335
NE10,18,7,M,I,336
NE10,18,7,M,I,337
NE10,18,7,M,NA,338
NE10,18,7,M,NA,339
NE10,18,7,M,I,340
NE10,18,8,F,NA,341
NE10,18,8,F,I,342
NE10,18,8,F,N,343
NE10,18,8,F,N,344
NE10,18,8,F,NA,345
NE10,18,8,M,I,346
NE10,18,8,M,I,347
NE10,18,8,M,I,348
NE10,18,8,M,I,349
NE10,18,8,M,I,350
NE10,18,9,F,NA,351
NE10,18,9,F,NA,352
NE10,18,9,F,I,353
NE10,18,9,F,I,354
NE10,18,9,F,I,355
NE10,18,9,M,I,356
NE10,18,9,M,I,357
NE10,18,9,M,N,358
NE10,18,9,M,N,359
NE10,18,9,M,I,360
